Unnamed: 0,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
0,ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,0,No,No,34649.0,2,3.0,0
1,Lenovo,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,0,No,No,38999.0,3,65.0,5
2,Lenovo,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,0,No,No,39999.0,3,8.0,1
3,ASUS,Intel,Core i5,10,8,DDR4,512,0,Windows,32-bit,2,Casual,0,No,No,69990.0,3,0.0,0
4,ASUS,Intel,Celeron Dual,0,4,DDR4,0,512,Windows,64-bit,0,Casual,0,No,No,26990.0,3,0.0,0
5,ASUS,Intel,Celeron Dual,0,4,DDR4,0,512,Windows,64-bit,0,Casual,0,No,No,22990.0,3,0.0,0
6,ASUS,Intel,Celeron Dual,0,4,DDR4,0,512,Windows,32-bit,0,Casual,0,No,No,21990.0,3,31.0,3
7,ASUS,Intel,Core i5,10,8,DDR4,0,1024,Windows,32-bit,2,Casual,0,No,No,58799.0,3,0.0,0
8,Lenovo,Intel,Core i5,10,4,DDR4,0,1024,Windows,32-bit,0,Casual,0,No,No,49999.0,3,0.0,0
9,acer,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32-bit,4,Casual,0,No,No,59990.0,4,348.75,45
10,acer,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32-bit,6,Casual,0,No,No,93700.0,4,259.0,45
11,acer,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32-bit,4,Casual,0,No,No,72990.0,4,348.75,45
12,Avita,Intel,Celeron Dual,0,4,DDR4,0,512,Windows,64-bit,0,Casual,0,No,No,17490.0,3,348.75,45
13,ASUS,Intel,Celeron Dual,0,4,DDR4,0,512,Windows,64-bit,0,Casual,0,No,No,22990.0,3,0.0,0
14,ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,0,No,No,35990.0,3,0.0,0
15,HP,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,Yes,No,56490.0,3,0.0,0
16,HP,Intel,Core i5,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,No,No,65390.0,3,0.0,0
17,Lenovo,Intel,Celeron Dual,0,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,31999.0,4,286.0,19
18,HP,Intel,Celeron Dual,0,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,32490.0,4,58.0,6
19,Lenovo,Intel,Celeron Dual,0,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,31799.0,3,0.0,0
20,ASUS,Intel,Celeron Dual,0,4,DDR4,256,0,Windows,64-bit,0,Casual,0,No,No,29890.0,4,7.0,0
21,ASUS,Intel,Celeron Dual,0,4,DDR4,0,1024,Windows,64-bit,0,Casual,1,No,No,23990.0,3,348.75,45
22,HP,Intel,Core i3,7,4,DDR4,0,1024,Windows,64-bit,0,Casual,0,No,No,32955.0,4,311.0,27
23,HP,Intel,Core i5,7,4,DDR4,0,1024,Windows,32-bit,2,Casual,0,No,No,46200.0,4,47.0,7
24,ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,34429.0,4,37.0,6
25,Lenovo,Intel,Core i3,10,8,DDR4,256,0,Windows,32-bit,0,ThinNlight,2,No,Yes,37990.0,4,348.75,45
26,ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,32-bit,0,Casual,1,No,Yes,35990.0,4,348.75,45
27,ASUS,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,33980.0,4,67.0,3
28,HP,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,Yes,39990.0,4,273.0,30
29,DELL,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,Yes,39490.0,4,348.75,45
30,HP,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,Yes,Yes,53990.0,4,14.0,0
31,acer,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,No,38990.0,3,0.0,0
32,ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,No,37990.0,4,284.0,39
33,ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,No,Yes,37890.0,4,44.0,5
34,Lenovo,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,No,38990.0,4,33.0,4
35,Lenovo,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,37990.0,4,286.0,36
36,DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,Yes,41990.0,3,10.0,5
37,ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,No,No,45990.0,4,348.75,45
38,Lenovo,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,No,39990.0,4,348.75,45
39,DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,42490.0,4,9.0,1
40,DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,Yes,36990.0,4,348.75,45
41,Lenovo,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,Yes,Yes,53990.0,4,299.0,41
42,ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,36990.0,4,20.0,1
43,Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,2,No,No,38940.0,4,348.75,45
44,DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,1,No,Yes,39490.0,4,348.75,45
45,ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,No,No,45990.0,4,348.75,45
46,Lenovo,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,Casual,2,No,Yes,39999.0,5,4.0,0
47,DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,No,42990.0,4,17.0,2
48,DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,Yes,No,49990.0,4,24.0,5
49,DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,Yes,41490.0,4,348.75,45
50,DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,41990.0,4,216.0,21
51,Lenovo,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,Yes,41990.0,4,348.75,45
52,ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,No,No,38490.0,3,19.0,3
53,Lenovo,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,Yes,38990.0,4,106.0,13
54,Lenovo,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,1,No,Yes,44990.0,4,42.0,4
55,Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,36490.0,3,0.0,0
56,Lenovo,Intel,Core i3,10,8,DDR4,256,0,Windows,32-bit,0,Casual,0,No,No,38970.0,3,0.0,0
57,HP,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,Yes,44900.0,4,348.75,45
58,MSI,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,38990.0,4,53.0,11
59,DELL,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,44427.0,3,0.0,0
60,ASUS,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,1,No,No,35990.0,3,0.0,0
61,Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,1,No,Yes,40200.0,3,48.0,1
62,Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,32-bit,0,Casual,0,No,No,40990.0,3,3.0,0
63,DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,No,42490.0,3,0.0,0
64,acer,Intel,Celeron Dual,0,4,DDR4,0,512,Windows,32-bit,0,Casual,0,No,No,23990.0,3,61.0,4
65,DELL,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,0,Yes,No,71999.0,4,97.0,13
66,ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,1,No,No,39990.0,4,181.0,19
67,Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,1,No,Yes,41998.0,4,348.75,39
68,ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,32-bit,0,Casual,0,No,No,41990.0,3,0.0,0
69,Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,2,No,Yes,39999.0,3,0.0,0
70,ASUS,Intel,Core i3,10,4,DDR4,256,0,Windows,32-bit,0,Casual,0,No,No,39990.0,3,0.0,0
71,Lenovo,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,0,No,No,39998.0,4,10.0,1
72,HP,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,Yes,42490.0,4,348.75,45
73,Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,32-bit,0,Casual,0,No,No,41990.0,3,3.0,0
74,ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,32-bit,0,Casual,0,No,No,48490.0,3,0.0,0
75,HP,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,Yes,44376.0,4,348.75,45
76,DELL,Intel,Core i3,11,4,DDR4,256,0,Windows,32-bit,0,Casual,0,No,No,43900.0,3,0.0,0
77,DELL,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,1,No,No,46690.0,3,0.0,0
78,Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,32-bit,0,Casual,0,No,No,40990.0,5,1.0,1
79,DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,No,39990.0,4,44.0,2
80,Lenovo,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,43990.0,3,0.0,0
81,ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,No,36990.0,4,70.0,9
82,DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,No,No,48500.0,3,0.0,0
83,ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,0,No,No,48990.0,3,0.0,0
84,ASUS,Intel,Celeron Dual,0,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,No,No,23490.0,4,348.75,45
85,HP,Intel,Core i3,8,4,DDR4,256,0,Windows,64-bit,0,Casual,1,Yes,Yes,54238.0,4,71.0,8
86,ASUS,Intel,Core i3,10,8,DDR4,512,0,Windows,64-bit,0,Casual,1,No,No,37990.0,4,348.75,45
87,HP,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,No,Yes,42990.0,4,158.0,18
88,HP,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,No,Yes,42990.0,4,348.75,45
89,ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,64-bit,0,Casual,1,No,No,35990.0,4,130.0,12
90,ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,No,No,42990.0,4,30.0,4
91,ASUS,Intel,Core i3,11,8,LPDDR4X,512,0,Windows,32-bit,0,Casual,1,Yes,Yes,51990.0,4,6.0,2
