Unnamed: 0,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
677,Lenovo,AMD,Ryzen 5,0,8,DDR4,512,0,Windows,64-bit,4,Gaming,0,No,No,59490.0,4,92.0,10
542,DELL,Intel,Core i7,11,16,DDR4,1024,0,Windows,64-bit,2,Casual,0,No,No,122410.0,3,0.0,0
498,DELL,Intel,Core i7,11,16,DDR4,512,0,Windows,64-bit,4,Casual,1,No,No,99990.0,3,0.0,0
685,HP,AMD,Ryzen 5,0,8,DDR4,512,0,Windows,32-bit,0,Casual,0,No,No,48990.0,4,17.0,1
749,ASUS,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,Casual,1,No,No,92990.0,4,25.0,4
536,ASUS,Intel,Core i7,11,16,DDR4,1024,0,Windows,64-bit,4,Gaming,0,No,No,98990.0,4,348.75,45
133,DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,0,No,No,42190.0,3,250.0,21
298,DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,64-bit,2,Casual,1,No,No,65990.0,4,10.0,0
126,DELL,Intel,Core i3,10,4,DDR4,512,0,Windows,64-bit,0,Casual,0,No,No,41790.0,3,0.0,0
305,ASUS,Intel,Core i5,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,No,Yes,53400.0,4,46.0,6
61,Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,1,No,Yes,40200.0,3,48.0,1
462,ASUS,Intel,Core i5,11,8,DDR4,256,1024,Windows,64-bit,0,Casual,1,No,No,49990.0,3,22.0,2
182,DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,No,Yes,43590.0,3,0.0,0
645,acer,AMD,Ryzen 3,0,8,DDR4,512,0,Windows,64-bit,0,Casual,1,No,No,36990.0,4,11.0,2
79,DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,No,No,39990.0,4,44.0,2
449,DELL,Intel,Core i5,11,8,DDR4,256,1024,Windows,64-bit,2,Casual,1,No,No,62490.0,3,157.0,20
59,DELL,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,44427.0,3,0.0,0
693,HP,AMD,Ryzen 5,0,16,DDR4,512,0,Windows,64-bit,2,Casual,1,No,Yes,63990.0,4,90.0,13
370,MSI,Intel,Core i5,8,8,DDR5,512,0,Windows,32-bit,6,Casual,0,No,No,149990.0,4,10.0,3
526,Lenovo,Intel,Core i7,10,16,DDR4,512,0,Windows,32-bit,2,Casual,0,No,No,154947.5,3,0.0,0
363,HP,Intel,Core i5,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,Yes,Yes,114999.0,3,0.0,0
290,Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,32-bit,0,Casual,1,No,Yes,77990.0,4,17.0,2
517,Lenovo,Intel,Core i7,10,16,DDR4,512,0,Windows,64-bit,0,ThinNlight,0,No,No,154947.5,3,0.0,0
722,HP,AMD,Ryzen 5,0,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,No,Yes,51890.0,4,348.75,45
564,ASUS,Intel,Core i7,11,16,DDR4,1024,0,Windows,64-bit,6,Casual,1,No,No,131500.0,3,0.0,0
118,HP,Intel,Core i3,11,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,No,Yes,47990.0,4,348.75,45
276,DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,64-bit,2,Casual,1,Yes,Yes,79990.0,4,23.0,2
209,DELL,Intel,Core i5,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,55990.0,3,3.0,0
478,DELL,Intel,Core i7,8,16,DDR4,256,0,Windows,64-bit,4,Casual,1,No,Yes,87990.0,4,120.0,21
18,HP,Intel,Celeron Dual,0,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,No,No,32490.0,4,58.0,6
229,ASUS,Intel,Core i5,10,8,DDR4,512,0,Windows,64-bit,0,Casual,1,No,No,47990.0,4,35.0,2
172,DELL,Intel,Core i3,11,8,DDR4,256,1024,Windows,64-bit,0,Casual,0,No,No,45490.0,4,207.0,16
